ID_Viaje,ID_Ruta,Numero_Pasajeros,Duracion_Viaje_Minutos,Retraso_Minutos,ID_Tipo_Transporte,ID_Region,Dia_Semana,Mes,Día,Hora
2,1,99,192,58,1,1,Sunday,1,1,0
3,2,10,94,119,2,2,Sunday,1,1,0
4,3,96,650,2,3,3,Sunday,1,1,0
5,4,22,335,51,2,4,Sunday,1,1,0
6,2,41,584,68,3,1,Sunday,1,1,0
7,4,78,608,21,2,3,Sunday,1,1,0
8,5,93,425,91,3,5,Sunday,1,1,0
9,5,60,61,76,4,2,Sunday,1,1,0
10,6,16,693,67,4,6,Sunday,1,1,0
11,7,67,345,2,2,4,Sunday,1,1,0
12,8,86,668,115,4,3,Sunday,1,1,0
13,8,41,104,63,3,2,Sunday,1,1,0
14,4,27,719,30,2,4,Sunday,1,1,0
15,6,55,65,44,4,4,Sunday,1,1,0
16,8,17,652,20,4,6,Sunday,1,1,0
17,3,93,653,25,3,7,Sunday,1,1,0
18,8,35,90,49,3,2,Sunday,1,1,0
19,9,27,356,24,2,6,Sunday,1,1,0
20,1,55,30,21,4,3,Sunday,1,1,0
21,6,11,602,65,3,1,Sunday,1,1,0
22,3,56,311,39,4,6,Sunday,1,1,0
23,2,58,332,117,4,2,Sunday,1,1,0
24,3,67,261,72,4,6,Sunday,1,1,0
25,7,97,268,67,2,3,Sunday,1,1,0
26,2,17,182,110,1,5,Sunday,1,1,0
27,10,31,443,85,2,2,Sunday,1,1,0
28,1,34,233,100,3,1,Sunday,1,1,0
29,1,80,576,23,2,5,Sunday,1,1,0
30,1,87,314,113,3,2,Sunday,1,1,0
31,1,53,697,93,4,3,Sunday,1,1,0
32,4,38,85,31,2,6,Sunday,1,1,0
33,1,16,411,63,3,1,Sunday,1,1,0
34,1,90,362,37,2,4,Sunday,1,1,0
35,1,92,680,75,3,7,Sunday,1,1,0
36,6,34,264,24,2,2,Sunday,1,1,0
37,4,17,122,115,3,2,Sunday,1,1,0
38,5,85,99,9,3,4,Sunday,1,1,0
39,3,12,228,59,4,1,Sunday,1,1,0
40,3,40,565,71,3,5,Sunday,1,1,0
41,2,81,353,33,1,2,Sunday,1,1,0
42,6,77,630,108,1,7,Sunday,1,1,0
43,9,41,118,57,1,4,Sunday,1,1,0
44,3,16,586,3,1,1,Sunday,1,1,0
45,8,23,126,16,1,3,Sunday,1,1,0
46,9,43,169,73,2,3,Sunday,1,1,0
47,1,78,193,116,4,1,Sunday,1,1,0
48,1,21,508,36,4,7,Sunday,1,1,0
49,4,46,321,92,2,2,Sunday,1,1,0
50,9,36,710,17,3,3,Sunday,1,1,0
51,8,94,233,22,3,6,Sunday,1,1,0
52,4,86,143,3,2,3,Sunday,1,1,0
53,2,98,396,62,3,5,Sunday,1,1,0
54,9,43,333,42,3,1,Sunday,1,1,0
55,6,51,383,74,2,2,Sunday,1,1,0
56,1,73,162,105,1,6,Sunday,1,1,0
57,1,57,702,16,3,7,Sunday,1,1,0
58,7,26,338,81,3,3,Sunday,1,1,0
59,4,30,97,117,2,2,Sunday,1,1,0
60,5,24,362,32,2,6,Sunday,1,1,0
61,5,35,711,90,3,3,Sunday,1,1,1
62,4,42,174,54,1,4,Sunday,1,1,1
63,6,99,78,87,1,7,Sunday,1,1,1
64,10,21,157,43,1,6,Sunday,1,1,1
65,4,31,84,100,3,2,Sunday,1,1,1
66,6,83,277,78,3,3,Sunday,1,1,1
67,2,82,653,112,4,3,Sunday,1,1,1
68,1,94,546,115,2,5,Sunday,1,1,1
69,8,83,30,31,3,4,Sunday,1,1,1
70,10,54,488,70,2,6,Sunday,1,1,1
71,9,16,198,97,4,2,Sunday,1,1,1
72,10,72,220,78,2,3,Sunday,1,1,1
73,8,37,229,26,3,4,Sunday,1,1,1
74,7,91,218,69,4,4,Sunday,1,1,1
75,1,88,292,5,3,5,Sunday,1,1,1
76,5,49,188,116,1,2,Sunday,1,1,1
77,6,98,152,74,4,5,Sunday,1,1,1
78,4,70,164,48,4,1,Sunday,1,1,1
79,4,59,46,33,4,1,Sunday,1,1,1
80,5,89,266,32,2,1,Sunday,1,1,1
81,10,19,204,107,3,1,Sunday,1,1,1
82,1,34,246,50,1,1,Sunday,1,1,1
83,3,21,373,24,4,4,Sunday,1,1,1
84,6,10,639,9,2,5,Sunday,1,1,1
85,2,82,625,90,2,7,Sunday,1,1,1
86,8,93,456,45,1,5,Sunday,1,1,1
87,10,47,415,48,4,7,Sunday,1,1,1
88,9,91,459,55,3,6,Sunday,1,1,1
89,7,46,453,103,2,6,Sunday,1,1,1
90,4,68,391,79,4,5,Sunday,1,1,1
91,10,21,98,31,2,3,Sunday,1,1,1
92,7,46,567,63,2,2,Sunday,1,1,1
93,8,21,700,89,3,5,Sunday,1,1,1
94,4,65,128,48,1,2,Sunday,1,1,1
95,4,48,533,73,4,7,Sunday,1,1,1
96,3,85,631,30,1,5,Sunday,1,1,1
97,10,65,591,46,2,3,Sunday,1,1,1
98,1,65,228,7,4,3,Sunday,1,1,1
99,5,41,24,27,3,7,Sunday,1,1,1
100,5,42,135,46,1,1,Sunday,1,1,1
102,9,40,574,79,4,5,Sunday,1,1,1
103,7,71,575,117,4,2,Sunday,1,1,1
104,10,99,479,35,3,7,Sunday,1,1,1
105,6,11,147,56,3,6,Sunday,1,1,1
106,9,61,430,36,2,4,Sunday,1,1,1
107,3,90,161,98,3,6,Sunday,1,1,1
108,4,10,379,67,4,6,Sunday,1,1,1
109,1,61,656,38,1,7,Sunday,1,1,1
110,10,84,260,52,4,7,Sunday,1,1,1
111,9,13,345,110,1,4,Sunday,1,1,1
112,9,17,685,21,2,4,Sunday,1,1,1
113,1,56,367,85,2,4,Sunday,1,1,1
114,2,30,82,117,2,2,Sunday,1,1,1
115,7,84,102,112,3,3,Sunday,1,1,1
116,7,21,106,74,3,5,Sunday,1,1,1
117,9,99,595,27,2,6,Sunday,1,1,1
118,8,43,338,74,4,1,Sunday,1,1,1
119,9,83,257,43,4,5,Sunday,1,1,1
120,9,82,584,1,4,3,Sunday,1,1,1
121,1,86,177,42,3,1,Sunday,1,1,2
122,4,85,229,65,2,3,Sunday,1,1,2
123,1,90,121,76,1,5,Sunday,1,1,2
124,10,77,606,48,4,7,Sunday,1,1,2
125,9,73,236,76,2,6,Sunday,1,1,2
126,7,37,95,25,4,6,Sunday,1,1,2
127,6,50,53,50,3,2,Sunday,1,1,2
128,7,93,636,103,2,2,Sunday,1,1,2
129,5,80,681,32,2,3,Sunday,1,1,2
130,2,81,463,37,2,7,Sunday,1,1,2
131,3,56,278,118,4,1,Sunday,1,1,2
132,10,24,233,84,3,2,Sunday,1,1,2
133,10,85,642,38,4,2,Sunday,1,1,2
134,2,30,252,80,2,2,Sunday,1,1,2
135,6,57,228,64,1,7,Sunday,1,1,2
136,3,89,121,65,1,5,Sunday,1,1,2
137,4,48,266,96,2,5,Sunday,1,1,2
138,9,41,688,27,4,3,Sunday,1,1,2
139,3,15,299,50,2,4,Sunday,1,1,2
140,6,97,717,90,3,6,Sunday,1,1,2
141,8,27,520,95,4,5,Sunday,1,1,2
142,5,65,190,64,2,1,Sunday,1,1,2
143,3,83,52,112,3,1,Sunday,1,1,2
144,3,18,295,55,4,7,Sunday,1,1,2
145,5,22,266,21,2,4,Sunday,1,1,2
146,9,36,577,93,2,5,Sunday,1,1,2
147,3,17,286,104,2,6,Sunday,1,1,2
148,5,62,467,10,4,7,Sunday,1,1,2
149,5,75,638,47,1,2,Sunday,1,1,2
150,5,13,77,14,2,6,Sunday,1,1,2
151,1,83,366.884,48,3,5,Sunday,1,1,2
152,6,23,287,86,1,4,Sunday,1,1,2
153,1,34,447,36,4,6,Sunday,1,1,2
154,8,50,662,15,1,5,Sunday,1,1,2
155,4,87,676,7,2,1,Sunday,1,1,2
156,1,83,404,114,1,5,Sunday,1,1,2
157,1,81,48,1,3,3,Sunday,1,1,2
158,6,15,19,100,3,5,Sunday,1,1,2
159,4,14,162,18,2,1,Sunday,1,1,2
160,2,30,362,102,3,7,Sunday,1,1,2
161,5,58,284,28,2,5,Sunday,1,1,2
162,10,32,176,60,1,3,Sunday,1,1,2
163,4,46,260,72,3,6,Sunday,1,1,2
164,8,92,434,83,2,7,Sunday,1,1,2
165,9,62,156,57,2,3,Sunday,1,1,2
166,8,58,69,12,4,4,Sunday,1,1,2
167,5,93,594,61,2,7,Sunday,1,1,2
168,4,19,186,44,2,7,Sunday,1,1,2
169,8,91,689,28,4,7,Sunday,1,1,2
170,8,29,370,0,2,6,Sunday,1,1,2
171,2,57,170,72,4,4,Sunday,1,1,2
172,2,20,308,22,2,3,Sunday,1,1,2
173,4,88,561,104,1,2,Sunday,1,1,2
174,5,20,131,119,3,7,Sunday,1,1,2
175,1,48,468,11,2,3,Sunday,1,1,2
176,7,10,471,31,4,1,Sunday,1,1,2
177,3,73,613,26,4,5,Sunday,1,1,2
178,10,56,652,72,2,6,Sunday,1,1,2
179,3,17,29,32,2,4,Sunday,1,1,2
180,6,85,150,98,3,7,Sunday,1,1,2
181,2,57,514,90,2,2,Sunday,1,1,3
182,4,92,66,7,4,4,Sunday,1,1,3
183,3,91,319,98,2,4,Sunday,1,1,3
184,5,28,268,54,3,6,Sunday,1,1,3
185,10,97,572,100,3,1,Sunday,1,1,3
186,3,75,455,79,1,7,Sunday,1,1,3
187,10,73,458,67,2,5,Sunday,1,1,3
188,9,81,397,50,1,1,Sunday,1,1,3
189,5,71,118,91,1,5,Sunday,1,1,3
190,7,62,316,88,3,4,Sunday,1,1,3
191,8,82,319,35,4,6,Sunday,1,1,3
192,10,32,155,109,1,2,Sunday,1,1,3
193,5,38,590,30,3,1,Sunday,1,1,3
194,10,80,219,18,2,5,Sunday,1,1,3
195,10,14,318,30,2,1,Sunday,1,1,3
196,1,49,27,107,1,2,Sunday,1,1,3
197,1,41,571,15,1,1,Sunday,1,1,3
198,5,12,667,44,1,1,Sunday,1,1,3
199,1,19,316,110,2,1,Sunday,1,1,3
200,6,71,704,62,1,7,Sunday,1,1,3
202,4,54,562,118,2,7,Sunday,1,1,3
203,5,92,247,33,1,6,Sunday,1,1,3
204,5,98,316,14,1,4,Sunday,1,1,3
205,6,93,177,104,3,5,Sunday,1,1,3
206,2,55,654,95,1,5,Sunday,1,1,3
207,2,83,525,83,2,5,Sunday,1,1,3
208,1,60,227,55,1,6,Sunday,1,1,3
209,4,20,140,0,4,7,Sunday,1,1,3
210,1,87,336,115,3,2,Sunday,1,1,3
211,9,60,487,102,4,7,Sunday,1,1,3
212,9,14,227,25,3,6,Sunday,1,1,3
213,8,37,614,64,3,6,Sunday,1,1,3
214,9,92,31,57,1,2,Sunday,1,1,3
215,2,42,403,10,4,6,Sunday,1,1,3
216,7,11,183,18,3,5,Sunday,1,1,3
217,9,91,189,54,4,7,Sunday,1,1,3
218,1,19,72,39,1,3,Sunday,1,1,3
219,10,65,456,78,4,6,Sunday,1,1,3
220,5,24,66,49,3,3,Sunday,1,1,3
221,7,95,182,54,3,5,Sunday,1,1,3
222,7,36,179,52,3,4,Sunday,1,1,3
223,1,36,286,52,3,2,Sunday,1,1,3
224,5,95,548,32,3,6,Sunday,1,1,3
225,2,30,169,104,4,6,Sunday,1,1,3
226,7,40,308,36,1,4,Sunday,1,1,3
227,8,70,107,10,2,4,Sunday,1,1,3
228,1,79,320,5,3,7,Sunday,1,1,3
229,7,22,54,43,1,3,Sunday,1,1,3
230,4,49,444,74,4,5,Sunday,1,1,3
231,5,24,497,15,1,5,Sunday,1,1,3
232,9,68,139,78,3,1,Sunday,1,1,3
233,7,51,702,77,1,2,Sunday,1,1,3
234,1,32,413,87,2,6,Sunday,1,1,3
235,9,73,614,66,2,5,Sunday,1,1,3
